sentence	label	docId
My brother Luke meets me at the Allentown airport, his arms knotted over his chest and his guitar slung across his back	0	4689c400f235b3befbbd7e6c4ea8ba97
Marla saw her in the pharmacy aisle, slipping a bottle of baby aspirin into a maroon  bubble coat that came down to her knees	0	7ac7f8afd546eecff8fdebda069766cc
An hour before the storm hit, Henry Leek killed a woodpecker with a rock	0	1c050184a992b720ab3436cf8aeb98e6
Ask me back then about intermediary metabolism, the Circle of Willis, the seven causes of amyloidosis, and I can quote you chapter and verse	0	71083bd05871f813ce027907bf022164
You think of her when you're half asleep	0	1e7603ca1414592181c7bb16f14811c9
Captain Ulysses Quitman, born in New York, raised in New England, a seafarer all his life, sat in the cabin of his latest ship and tried to figure the profit when he sold his cargo	0	e9eb30a2b3772651e831081e853f5418
He couldn't recall when they had begun to argue	0	e836efcc731ff1e8898300959a9c399f
Father McKelvey woke up with a hard on	0	f13c86f9931e45fbd2f45725f4f1dd69
Three weeks before turning 60, Molly Gerstler strode into Ace of Bass and came out an hour later with a sparkling new electric guitar	0	d9812627b062bc0be44be386d3be28d8
Sometimes in the night, I used to dream that my father was looking for the son he had never seen	0	91a93cddfa6d481ad351f610f18d414b
I'm sitting against the flaking bole of a laurel tree, cooling down after hiking up the mountain, when a little man drops from the canopy above	0	0a5d95688c2984cc0384e6e4b1fb516f
Keith shifted his load to free a hand and pulled the door closed hurriedly behind him	0	91edb553f6d7abd80440e53bcde724e3
Having recently turned sixteen years old, Anthony went job hunting	0	00183689bc74a9fc44a95ee61ffb11da
 Edwards knows he should have left school as soon as the verdicts were read	0	8c76e634f7de9d2613345e56369314a9
'There's a world inside my head Emmy, and it's as messed up as the world around me	0	db05da1b5b009d1067fc55c16ddfc60d
Peering over a log, the man raised his hand and covered the boy's mouth	0	072b720130f33b9fa076866809912c2e
I have been in love with you since you bought those shoes in Cairo exactly 1,077 days ago	0	c1e2392a6beba5204934e04daafb3b75
This notice is to inform you that, Pursuant to Title 26: 6103 of the Internal Revenue Code (IRC), the audit of your personal income and small business tax filings for the fiscal year 2008 is complete	0	62d9f83167cd1dc54fce4c27e4f98baf
'So, y'got a week to pull off yer show and yer plumb stuck without a headliner?' 'That's about the size of it, yes	0	8e371e5fca5a63d3be61ad0d9c1e3717
It was his birthday and though he was fifteen, Joaquin, looked older from years spent fostering his siblings	0	1ac9232a862086b2096ca349a9fe80a2
'You mean we have to walk it from here?' He looked dubiously through the car window at the sloping ramp-like steps	0	acb060a635f14da370235ada42e0df78
'Dad, you won't believe it—I ran into this old friend from college today and her daughter is on the island	0	5f41884f0c164ef34b853ff8c8de802d
After three months and 36 psychotherapy sessions, Dr Gary McGivern realized that he was not only unable to help Stephen Aaronson, but had experienced a rare form of reverse transference and had begun to assume the client's pathological hatred for the esteemed magazine, The New Yorker	0	796b3806e95b0d48169ca06b9ffea945
'You were hard to find, young man	0	3b45b4b279edb1ab5f1838f2917e77e2
When his daughter was born, Thomas Singing Bird held out his huge hands and said, Give her to me	0	af5825f926cd638e0a57709d03ebd19b
